Grade,Subject,Sub-Domain,Learning Outcome,Indicator
Grade 6,Math,Numbers and operations,"6-4-1-2-1 Adding and subtracting whole numbers up to seven digits, multiplying numbers up to three digits, dividing numbers of up to four digits by numbers of up to two digits, and solving mathematical problems including real-life applications.","2. Multiplying numbers up to three digits by numbers up to two digits, with and without regrouping, using place valueâ€“based strategies."
Grade 6,Math,Numbers and operations,"6-4-1-2-1 Adding and subtracting whole numbers up to seven digits, multiplying numbers up to three digits, dividing numbers of up to four digits by numbers of up to two digits, and solving mathematical problems including real-life applications.","3. Dividing numbers of up to four digits by numbers of up to two digits, with and without remainder, using place valueâ€“based strategies."
Grade 6,Math,Numbers and operations,"6-4-1-2-1 Adding and subtracting whole numbers up to seven digits, multiplying numbers up to three digits, dividing numbers of up to four digits by numbers of up to two digits, and solving mathematical problems including real-life applications.","4. Solving mathematical problems up to three steps, including real-life applications on all four operations, and explaining their solutions."
Grade 6,Math,Numbers and operations,"6-4-1-2-2 Distinguishing the factors and multiples of a number, representing and finding them, and solving mathematical problems including real-life applications.",1. Determining the factors of a number and representing them using models and diagrams.
Grade 6,Math,Numbers and operations,"6-4-1-2-2 Distinguishing the factors and multiples of a number, representing and finding them, and solving mathematical problems including real-life applications.","3. Distinguishing prime and non-prime numbers, and representing them using models and diagrams."
Grade 6,Math,Numbers and operations,"6-4-1-2-2 Distinguishing the factors and multiples of a number, representing and finding them, and solving mathematical problems including real-life applications.","5. Solving mathematical problems including real-life applications of the greatest common divisor and the least common multiple, and explaining their solutions."
Grade 6,Math,Numbers and operations,"6-4-1-2-3 Understanding powers of whole numbers, representing and finding them, finding values of numerical expressions included it, and solving mathematical problems including real-life applications.","3. Solving mathematical problems including real-life applications of numerical expressions with powers of whole numbers, and explaining their solution."
Grade 6,Math,Numbers and operations,"6-4-1-2-4 Understanding and finding ratios, rates, percentages, and proportions, distinguishing between them, and solving mathematical problems including real-life applications.","2. Distinguishing and finding percentages, representing them using models and diagrams,  and expressing them as decimal or Proper fractions in simplest form."
Grade 6,Math,Numbers and operations,"6-4-1-2-4 Understanding and finding ratios, rates, percentages, and proportions, distinguishing between them, and solving mathematical problems including real-life applications.","4. Solving mathematical problems including real-life applications that involve ratio, rate, percentage, and proportion and explaining their solutions."
Grade 6,Math,Numbers and operations,6-4-1-2-5 Performing the four operations on Proper fractions and mixed numbers and solving mathematical problems including real-life applications,"2. Adding and subtracting mixed numbers, and writing the result in simplest form."
Grade 6,Math,Numbers and operations,6-4-1-2-5 Performing the four operations on Proper fractions and mixed numbers and solving mathematical problems including real-life applications,"3. Multiplying and dividing Proper fractions, and writing the result in simplest form."
Grade 6,Math,Numbers and operations,6-4-1-2-5 Performing the four operations on Proper fractions and mixed numbers and solving mathematical problems including real-life applications,"4. Multiplying and dividing mixed numbers, and writing the result in simplest form."
Grade 6,Math,Numbers and operations,"6-4-1-2-6 Performing the four arithmetic operations on decimal fractions, numbers and solving mathematical problems including real-life applications.",1. Adding and subtracting decimal fractions up to a thousand place.
Grade 6,Math,Numbers and operations,"6-4-1-2-6 Performing the four arithmetic operations on decimal fractions, numbers and solving mathematical problems including real-life applications.",3. Solving mathematical problems up to three steps that involve real-life applications of the four operations on decimal fractions and explaining their solutions.
Grade 6,Math,Numbers and operations,"6-4-1-2-7 Estimating the results of the four arithmetic operations on whole numbers, Proper fractions, and decimal fractions, and using mental calculation strategies to find results, and verifying the plausibility and accuracy of the results.","1 Estimating the results of the four arithmetic operations on whole numbers, Proper fractions, mixed numbers, and decimal Proper by using rounding."
Grade 6,Math,Numbers and operations,"6-4-1-2-7 Estimating the results of the four arithmetic operations on whole numbers, Proper fractions, and decimal fractions, and using mental calculation strategies to find results, and verifying the plausibility and accuracy of the results.","2. Using mental calculation to find the results of multiplying and dividing a two-digit number by multiples of (10, 100, 1000)."
Grade 6,Math,Numbers and operations,"6-4-1-2-7 Estimating the results of the four arithmetic operations on whole numbers, Proper fractions, and decimal fractions, and using mental calculation strategies to find results, and verifying the plausibility and accuracy of the results.","5. Verifying the plausibility and accuracy of the results of the four operations on whole numbers, Proper fractions, mixed numbers, and decimal fractions by using approximation or mental calculation."
Grade 6,Math,Statistics and probabilities,"6-4-4-2-1 Understanding measures of central tendency and range, distinguishing between them, and finding and interpreting them.","1. Distinguishing the mean, median, mode, and range, finding them for a set of individual data values, and interpreting them in context."
Grade 6,Science,Earth and Space Sciences,6-5-3-1-1 Describing the changes in the appearance of the moon during its revolution around the Earth explains the reasons for these changes,"1. Describing the apparent shape of the moon during its rotation around the earth, and naming the different phases of the moon."
Grade 6,Science,Earth and Space Sciences,"6-5-3-1-2 Explaining the phenomena related to the movement of the earth, the moon and the sun and the resulting",1. Explaining the importance and impact of the sun's movement on aspects of life around them.
Grade 6,Science,Earth and Space Sciences,"6-5-3-1-2 Explaining the phenomena related to the movement of the earth, the moon and the sun and the resulting","1. Explaining the phenomenon of tides, and explaining the influence of the moon in its occurrence and its geological effects."
Grade 6,Science,Earth and Space Sciences,"6-5-3-1-2 Explaining the phenomena related to the movement of the earth, the moon and the sun and the resulting",3. Explaining the occurrence of the lunar eclipse and the solar eclipse.
Grade 6,Science,Earth and Space Sciences,"6-5-3-1-3 Concluding the effect of gravity on the movement of the solar system, galaxies and associated phenomena.","3. Distinguishing the phenomena associated with the movement of celestial bodies, and providing supporting evidence."
Grade 6,Science,Earth and Space Sciences,"6-5-3-1-4 Determining the characteristics of the solar system, and comparing the solar system to the galaxy and the","1. Classifying the layers of the atmosphere and comparing them in terms of similarities and differences, and identifying some environmental problems resulting from changes in atmospheric layers."
Grade 6,Science,Earth and Space Sciences,"6-5-3-1-4 Determining the characteristics of the solar system, and comparing the solar system to the galaxy and the","2. Comparing the sun and other stars in terms of size, color and explans the relationship between a star’s color and its temperature"
Grade 6,Science,Earth and Space Sciences,"6-5-3-2-1Classifying the layers of the atmosphere and identifying their components, characteristics, changes, its effects on the environment and their benefits to humans.",2. Explaining the movement of air masses and air currents and describing their effects on Earth’s weather.
Grade 6,Science,Earth and Space Sciences,"6-5-3-2-1Classifying the layers of the atmosphere and identifying their components, characteristics, changes, its effects on the environment and their benefits to humans.","3. Identifying the causes of weather variability and their relationship to the Earth’s water cycle, and predicting their environmental impacts on weather."
Grade 6,Science,Earth and Space Sciences,"6-5-3-2-1Classifying the layers of the atmosphere and identifying their components, characteristics, changes, its effects on the environment and their benefits to humans.",4. Explaining the causes of climate change in some regions of the world and proposing multiple solutions to address the impacts and risks of weather fluctuations.
Grade 6,Science,Earth and Space Sciences,"6-5-3-2-2 Deducing the relationship of the Earth›s spheres to each other and predicting the interactions, and changes that occur between them and the geological effects resulting from them.","1. Describing the Earth's spheres and Plate tectonics, identifying the layers of the Earth that make up the lithosphere and the biosphere, and distinguishing between them."
Grade 6,Science,Earth and Space Sciences,"6-5-3-2-2 Deducing the relationship of the Earth›s spheres to each other and predicting the interactions, and changes that occur between them and the geological effects resulting from them.","1. Explaining the geological changes and processes that affect the earth's surface, classifying and locating them."
Grade 6,Science,Earth and Space Sciences,"6-5-3-2-2 Deducing the relationship of the Earth›s spheres to each other and predicting the interactions, and changes that occur between them and the geological effects resulting from them.","2. Describing how magma moves Earth's plates, using that for explaining the formation of oceans and mountains."
Grade 6,Science,Earth and Space Sciences,"6-5-3-2-2 Deducing the relationship of the Earth›s spheres to each other and predicting the interactions, and changes that occur between them and the geological effects resulting from them.","3. Identifies Earth’s natural features, including landforms and water bodies, and explains the causes of their formation."
Grade 6,Science,Earth and Space Sciences,6-5-3-2-3 Describing the factors and processes that affected the Earth›s surface which changed some of its,"3. Explaining the factors of erosion, weathering, and sedimentation and their causes, and predicting the patterns of their action and their effects on earth."
Grade 6,Science,Earth and Space Sciences,6-5-3-2-4 Describing the types of rocks and their relationship to minerals and distinguishing their characteristics and,"2. Describing the types of rocks in his area, explaining their characteristics, and their use."
Grade 6,Science,Earth and Space Sciences,6-5-3-2-5 Determining the causes and effects of earthquakes and volcanoes and identifying the sites most vulnerable to earthquakes and volcanoes.,1. Relating the change of the Earth's shape with the external and internal geological processes.
Grade 6,Science,Earth and Space Sciences,6-5-3-2-5 Determining the causes and effects of earthquakes and volcanoes and identifying the sites most vulnerable to earthquakes and volcanoes.,"2. Explaining the causes of earthquakes and volcanoes, anticipating the damages that result from them, and proposing solutions for prevention to limit their effects."
Grade 6,Science,Earth and Space Sciences,6-5-3-2-5 Determining the causes and effects of earthquakes and volcanoes and identifying the sites most vulnerable to earthquakes and volcanoes.,3. Determining the locations and types of earthquake monitoring stations and devices in the Kingdom of Saudi Arabia and comparing between them.
Grade 6,Science,Life Sciences,6-5-1-1-1 Describing the cell structures and linking them to their vital functions.,"2.Identifying and naming structures in the cell (nucleus, cytoplasm, cell membrane, cell wall)."
Grade 6,Science,Life Sciences,6-5-1-1-1 Describing the cell structures and linking them to their vital functions.,3.Linking between cellular structures and their specific functions.
Grade 6,Science,Life Sciences,"6-5-1-1-4 Describing the different patterns in the life cycles of animals and plants and the changes accom-panying them, and comparing them.","1.Describing the different patterns in life cycles of different animals (insects, am-phibians, and mammals) and different plants, and comparing them."
Grade 6,Science,Life Sciences,"6-5-1-1-4 Describing the different patterns in the life cycles of animals and plants and the changes accom-panying them, and comparing them.",2.Describing the changes that occur to animals and plants during life cycles and predict them based on the pattern of reproduction and the life cycle.
Grade 6,Science,Life Sciences,6-5-1-2-1 Classifying living organisms into groups based on common phenotypic traits.,2.Determining the common characteristics and traits of various animals in order to justify their classification within specific groups.
Grade 6,Science,Life Sciences,"6-5-1-3-1 Representing biological communities and identifying types of population that lives in it, describ-ing the interrelationships among them, and their inter-action with the abiotic components, and the impact of biological communities changes on their survival and sustainability.","1.Describing the biological community and the types of population and living or-ganisms that live in it, and their ability to survive in their habitats through the avail-ability of the necessities of life."
Grade 6,Science,Life Sciences,"6-5-1-3-1 Representing biological communities and identifying types of population that lives in it, describ-ing the interrelationships among them, and their inter-action with the abiotic components, and the impact of biological communities changes on their survival and sustainability.","2.Identifying the interrelationships among living organisms, and their interaction with the abiotic components of their habitats to obtain their needs."
Grade 6,Science,Life Sciences,"6-5-1-3-2 Describing the components of the ecosystem and explaining the impact of the availability of different resources in ecosystems on the survival and sustainability of living organisms, and proposing solutions to problems that affect the stability of the ecosystem.","1. Describing the biotic and abiotic components of ecosystems and their interaction to provide the needs of living organisms, and its impact on the survival and stability of the ecosystem."
Grade 6,Science,Life Sciences,"6-5-1-3-2 Describing the components of the ecosystem and explaining the impact of the availability of different resources in ecosystems on the survival and sustainability of living organisms, and proposing solutions to problems that affect the stability of the ecosystem.",2. Determining the causes of changes in habitats and their impact on plants and animals that lives there.
Grade 6,Science,Life Sciences,"6-5-1-3-3 Representing the relationships between living organisms in which matter is circulated in the ecosystem, and identifying the relationship between plants and energy obtained from the sun to produce food.",2. Classifying living organisms into (autotrophic - heterotrophic).
Grade 6,Science,Life Sciences,"6-5-1-3-3 Representing the relationships between living organisms in which matter is circulated in the ecosystem, and identifying the relationship between plants and energy obtained from the sun to produce food.",3. Explaining the process of photosynthesis and its role in determining the relationship between plants and the energy obtained from the sun to produce food.
Grade 6,Science,Life Sciences,6-5-1-3-4 Describing the effect of environmental changes on plants and animals that live in specific environments. Inferring how behavioral and structural adaptations can help plants and animals survive in their habitats,1. Identifying the physical factors that affect the survival of plants and animals in specific habitats
Grade 6,Science,Life Sciences,6-5-1-3-4 Describing the effect of environmental changes on plants and animals that live in specific environments. Inferring how behavioral and structural adaptations can help plants and animals survive in their habitats,4. Describing the climatic conditions in different environments and their impact on living organisms.
Grade 6,Science,Life Sciences,"6-5-1-3-5 Inferring the impact of human activity on environmental habitats and populations, and predicting its effect, proposing solutions for their protection","1. Explaining human interaction with environments, and inferring the positive and negative impact of human activities on the environmental habitats and populations."
Grade 6,Science,Life Sciences,"6-5-1-3-5 Inferring the impact of human activity on environmental habitats and populations, and predicting its effect, proposing solutions for their protection",2. Identifying natural environmental events of the Kingdom of Saudi Arabia and predicting their positive and negative impacts.
Grade 6,Science,Life Sciences,"6-5-1-3-5 Inferring the impact of human activity on environmental habitats and populations, and predicting its effect, proposing solutions for their protection",3. Proposing solutions to protect the earth's resources and preserve the environment.
Grade 6,Science,Life Sciences,"6-5-1-4-1 Identifying the inheritance of traits, explaining the variation in them, tracing their transmission from one generation to the next, distinguishing their types (dominant and recessive), and clarifying the impact of the environment on them.","5. Identifying some of the environmental factors that affect the acquired traits of animals and plants (the amount of food, the amount of water, the amount of animal movement), and identifying the traits that are affected by environmental factors (height, weight, and color)."
Grade 6,Science,Physical Sciences,"6-5-2-1-1 Exploring the physical properties of matter, distinguishing the molecular structure of its different states, and explaining the change of matter states due to heat.","2. Distinguishing the different materials in terms of the physical properties of the substance that can be calculated or measured, such as mass, volume, density, buoyancy, color and boiling point"
Grade 6,Science,Physical Sciences,"6-5-2-1-1 Exploring the physical properties of matter, distinguishing the molecular structure of its different states, and explaining the change of matter states due to heat.",5. Explaining the changes of matter due to the effect of heat.
Grade 6,Science,Physical Sciences,"6-5-2-1-2 Distinguishing between compounds and mixtures and their types, explaining chemical changes of matter and the related concepts and methods, and comparing the masses of substances when their properties change based on the law of conservation of mass.",4. Explaining the concept of solubility and gives the factors affecting it.
Grade 6,Science,Physical Sciences,6-5-2-2-2 Understanding Newton›s three laws of motion and using them to explain body motion,"1. Explaining the relationship between gravitational force and the weights of objects, and identifying the factors that affect it."
Grade 6,Science,Physical Sciences,6-5-2-2-2 Understanding Newton›s three laws of motion and using them to explain body motion,"2. Define velocity and its unit, calculating velocity by knowing distance and time, and distinguishing between speed and velocity."
Grade 6,Science,Physical Sciences,6-5-2-2-2 Understanding Newton›s three laws of motion and using them to explain body motion,"3. Defining acceleration and its unit, calculating acceleration by knowing the change in velocity and time, and showing the effect of changing the direction of movement on acceleration."
Grade 6,Science,Physical Sciences,6-5-2-2-2 Understanding Newton›s three laws of motion and using them to explain body motion,4. Explaining Newton's three laws of motion and their real life applications.
Grade 6,Science,Physical Sciences,"6-5-2-2-3 Explaining the factors affecting types of forces, such as gravitational force, friction, and magnetism.",1. Explaining the concept of energy and work based on their role and impact on bodies.
Grade 6,Science,Physical Sciences,"6-5-2-2-3 Explaining the factors affecting types of forces, such as gravitational force, friction, and magnetism.","2. Explaining how frictional force is generated and the factors affecting its magnitude, and explaining the effect of air resistance on the motion of objects."
Grade 6,Science,Physical Sciences,"6-5-2-3-1 Understanding the concept of energy and work, distinguishing between them, and giving real life examples .",2. Explaining the concept of potential energy and kinetic energy and their relationship to body movement.
Grade 6,Science,Physical Sciences,"6-5-2-3-1 Understanding the concept of energy and work, distinguishing between them, and giving real life examples .","3. Selectsing the simple machine that facilitates completing a task from among different machines, and provides examples of the benefits of simple machines in everyday life"
Grade 6,Science,Physical Sciences,6-5-2-3-2 Understanding the principle of energy conservation during its transformations and apply it in daily life.,1. Describing how energy is transferred from one place to another in its surroundings and between objects and systems.
Grade 6,Science,Physical Sciences,"6-5-2-4-1 Describing waves, distinguishing between their properties theoretically and graphically, and predicting their movement.",4. Describing the transmission of sound and light as waves through material media and space and distinguishing between them.
Grade 6,Science,Physical Sciences,"6-5-2-4-2 Understanding the concepts of reflection and refraction of light, transmission of sound, and explaining their role in interaction and communication in the surrounding environment.",1. Explaining the concept of electric charge and explaining the attraction and repulsion of charged bodies theoretically and graphically.
Grade 6,Science,Physical Sciences,"6-5-2-4-2 Understanding the concepts of reflection and refraction of light, transmission of sound, and explaining their role in interaction and communication in the surrounding environment.",3. Describing the transmission of sound by absorbing or reflecting it through different media and objects.
Grade 6,Science,Physical Sciences,"6-5-2-5-1Understanding the concept of electric charge, explaining the attraction and repulsion of charged bodies, and comparing electrical circuits connected in series and in parallel.","1. Defining magnets, identifying and naming their poles, and explain how magnets are formed."
Grade 9,English,Reading Comprehension,"9.2.1.1.2 Eliciting the main and sub-ideas of a long and complex text, deducing implicit ideas, distinguishing, interpreting, and analyzing them.","2. Extracting indirect information from the text, identifying its subject, inferring implicit ideas, and posing questions (explanatory, explanatory, inferential, analytical, or critical)."
Grade 9,English,Reading Comprehension,"9.2.1.1.2 Eliciting the main and sub-ideas of a long and complex text, deducing implicit ideas, distinguishing, interpreting, and analyzing them.","4. Distinguishing between facts, opinions, and direct and indirect expressions mentioned in one text or more."
Grade 9,English,Reading Comprehension,"9.2.1.1.3 Evaluating, and criticizing the read text, expressing an opinion on the writer's point of view, values and attitudes, proposing alternatives, using means of persuasion and reasoning, summarizing it, and applying data of the text in different life situations.","1. Distinguishing between phrases, sentences, ideas and paragraphs of the read text, and identifying the use of specific structure for certain expressions and enriching the text with expressions of his/her own creation."
Grade 9,English,Reading Comprehension,"9.2.1.1.3 Evaluating, and criticizing the read text, expressing an opinion on the writer's point of view, values and attitudes, proposing alternatives, using means of persuasion and reasoning, summarizing it, and applying data of the text in different life situations.","2. Showing his/her point of view on the events, information or ideas contained in the text, and judging the credibility of the information contained in the texts from his/ her experiences."
Grade 9,English,Reading Comprehension,"9.2.1.1.3 Evaluating, and criticizing the read text, expressing an opinion on the writer's point of view, values and attitudes, proposing alternatives, using means of persuasion and reasoning, summarizing it, and applying data of the text in different life situations.","5. Summarizing the text in short phrases, rephrasing it, and organizing its information and ideas in own style or using various graphic organizers."
Grade 9,English,Vocabulary Acquisition and Use of Verbal Semantics,"9.2.1.1.1 Inferring and classifying the semantics of vocabulary, through synonymy, antonymy, context, interpretation, definition, classification, representation, and using them in new contexts.",5. Employing new vocabulary and vocabulary with diverse meanings in different reading contexts and situations to solve problems.
Grade 9,Math,Algebra and analysis,"9-4-2-1-1 Understanding arithmetic sequences and relationships, representing them graphically, distinguishing linear relationships, and solving mathematical problems including real-life applications.","1. Describing a function, determining its domain and range, writing its rule using two variables, and finding its values for given inputs from its domain."
Grade 9,Math,Algebra and analysis,"9-4-2-1-2 Understanding functions, distinguishing linear and quadratic functions, identifying their properties, and representing them graphically.",2. Distinguishing linear functions and representing them graphically.
Grade 9,Math,Algebra and analysis,"9-4-2-2-1 Writing algebraic expressions with rational coefficients, finding their values, performing arithmetic operations on them, and Distinguishing basic identities.","3. Distinguishing the basic identities: the square of a sum of two terms, the square of a difference of two terms, and the product of the sum and difference of two terms, and using them."
Grade 9,Math,Algebra and analysis,"9-4-2-2-3 Writing linear and quadratic equations, solving them algebraically and graphically, and estimating their solutions from graph representations.","1. Writing and solving a system of two linear equations with two variables, both algebraically (by substitution or elimination) and graphically."
Grade 9,Math,Algebra and analysis,"9-4-2-2-3 Writing linear and quadratic equations, solving them algebraically and graphically, and estimating their solutions from graph representations.","4. Estimating the solution of a quadratic equation from its graphical representations, and solving quadratic equations graphically and algebraically using factoring, the quadratic formula, or completing the square."
Grade 9,Math,Algebra and analysis,"9-4-2-2-4 Writing a system of two linear equations with two variables, and solving them algebraically and graphically.","1. Distinguishing inequalities, identifying linear and compound inequalities, and writing them."
Grade 9,Math,Geometry and measurement,"9-4-3-1-1 Distinguishing the interior angles of polygons, and the relationships between angles formed by a transversal intersecting parallel lines, and using them to find unknown angle measures, and determining polygons that can form tessellations.","1. Distinguishing shapes that are symmetric about an axis, identifying axes of symmetry and shapes that have rotational symmetry about a point, and determining angles of rotation."
Grade 9,Math,Geometry and measurement,"9-4-3-1-4 Distinguishing the congruence and similarity of two polygons, using them to find unknown measures, and solving mathematical problems including real-life applications.","1. Distinguishing the basic trigonometric ratios (sine, cosine, and tangent) and finding them for an acute angle in a right triangle (manually and using a calculator), rounded to the nearest given place."
Grade 9,Math,Geometry and measurement,"9-4-3-1-4 Distinguishing the congruence and similarity of two polygons, using them to find unknown measures, and solving mathematical problems including real-life applications.",3. Distinguishing the similarity of two polygons and using its to identify similar polygons and find unknown measures.
Grade 9,Math,Geometry and measurement,"9-4-3-1-5 Distinguishing the basic trigonometric ratios of an acute angle and their inverses, finding each of them, and using them to solve right triangles.",1. Determining the locations of points in the coordinate plane (rational-number coordinates) by utilizing ordered pairs of rational numbers.
Grade 9,Math,Geometry and measurement,"9-4-3-2-2 Determining the type of geometric transformation in the coordinate plane, and drawing the image resulting from these transformations.","1. Distinguishing the relationships between English units of length (inch, foot, yard, mile) and using them to convert between units."
