quiz_title,subject,grade,outcome_text,question,option_1,option_2,option_3,option_4,answer,image_topic,image_description,ai_prompt,image_url
Math G6: Distinguishing formulas for the perimeter and - Set 1,Math,6,"6-4-3-3-2 Distinguishing formulas for the perimeter and area of two-dimensional shapes, using them to find perimeter and area, and solving mathematical problems including real-life applications.",What is the formula for the area of a triangle?,Area = Base x Height,Area = Base + Height,Area = Base - Height,Area = Base / Height,Area = Base x Height,A triangle with vertices labeled...,"A triangle with vertices labeled A, B, C. Mark the three interior angles with arc symbols. Label sides a (opposite A), b (opposite B), c (opposite C). Show the three sides and three angles clearly.","Create an educational diagram for Math Grade 6 based on the question: ""What is the formula for the area of a triangle?"". The diagram must show: A triangle with vertices labeled A, B, C. Mark the three interior angles with arc symbols. Label sides a (opposite A), b (opposite B), c (opposite C). Show the three sides and three angles clearly.. Style: flat vector illustration on white background, clear labels, educational diagram, no speech bubbles, no cartoon characters, suitable for a school assessment worksheet.",
Math G6: Distinguishing formulas for the perimeter and - Set 1,Math,6,"6-4-3-3-2 Distinguishing formulas for the perimeter and area of two-dimensional shapes, using them to find perimeter and area, and solving mathematical problems including real-life applications.",What is the formula for the area of a composite shape?,Area = Sum of individual shapes,Area = Difference of individual shapes,Area = Product of individual shapes,Area = Quotient of individual shapes,Area = Sum of individual shapes,Four basic 2D shapes shown...,"Four basic 2D shapes shown together: square (4 equal sides, 4 right angles), rectangle (opposite sides equal, 4 right angles), triangle (3 sides, 3 angles), circle (continuous curved line). Each labeled with its name and key properties.","Create an educational diagram for Math Grade 6 based on the question: ""What is the formula for the area of a composite shape?"". The diagram must show: Four basic 2D shapes shown together: square (4 equal sides, 4 right angles), rectangle (opposite sides equal, 4 right angles), triangle (3 sides, 3 angles), circle (continuous curved line). Each labeled with its name and key properties.. Style: flat vector illustration on white background, clear labels, educational diagram, no speech bubbles, no cartoon characters, suitable for a school assessment worksheet.",
Math G6: Distinguishing formulas for the perimeter and - Set 1,Math,6,"6-4-3-3-2 Distinguishing formulas for the perimeter and area of two-dimensional shapes, using them to find perimeter and area, and solving mathematical problems including real-life applications.",A rectangle has a length of 8 cm and a width of 5 cm. What is its area?,30 cm^2,40 cm^2,50 cm^2,60 cm^2,40 cm^2,Four angle examples labeled: acute...,"Four angle examples labeled: acute angle (less than 90°, e.g., 45°), right angle (90° with square symbol), obtuse angle (greater than 90°, e.g., 120°), straight angle (180°). Each with arc notation and degree label.","Create an educational diagram for Math Grade 6 based on the question: ""A rectangle has a length of 8 cm and a width of 5 cm. What is its area?"". The diagram must show: Four angle examples labeled: acute angle (less than 90°, e.g., 45°), right angle (90° with square symbol), obtuse angle (greater than 90°, e.g., 120°), straight angle (180°). Each with arc notation and degree label.. Style: flat vector illustration on white background, clear labels, educational diagram, no speech bubbles, no cartoon characters, suitable for a school assessment worksheet.",
Math G6: Distinguishing formulas for the perimeter and - Set 1,Math,6,"6-4-3-3-2 Distinguishing formulas for the perimeter and area of two-dimensional shapes, using them to find perimeter and area, and solving mathematical problems including real-life applications.",A square has a side length of 6 cm. What is its area?,30 cm^2,36 cm^2,40 cm^2,50 cm^2,36 cm^2,A square with all four...,"A square with all four sides of equal length (marked with single tick marks on each side). All four interior angles marked as 90 degrees with small square symbols. Label side length as ""s"" and include text: ""Square: 4 equal sides, 4 right angles"".","Create an educational diagram for Math Grade 6 based on the question: ""A square has a side length of 6 cm. What is its area?"". The diagram must show: A square with all four sides of equal length (marked with single tick marks on each side). All four interior angles marked as 90 degrees with small square symbols. Label side length as ""s"" and include text: ""Square: 4 equal sides, 4 right angles"".. Style: flat vector illustration on white background, clear labels, educational diagram, no speech bubbles, no cartoon characters, suitable for a school assessment worksheet.",
Math G6: Distinguishing formulas for the perimeter and - Set 1,Math,6,"6-4-3-3-2 Distinguishing formulas for the perimeter and area of two-dimensional shapes, using them to find perimeter and area, and solving mathematical problems including real-life applications.",A parallelogram has a base of 10 cm and a height of 4 cm. What is its area?,20 cm^2,30 cm^2,40 cm^2,50 cm^2,20 cm^2,A parallelogram (slanted rectangle) with...,"A parallelogram (slanted rectangle) with opposite sides marked parallel using arrow notation (single arrow on one pair, double arrows on the other pair). Opposite sides also marked equal with tick marks. Label base and height with dashed line.","Create an educational diagram for Math Grade 6 based on the question: ""A parallelogram has a base of 10 cm and a height of 4 cm. What is its area?"". The diagram must show: A parallelogram (slanted rectangle) with opposite sides marked parallel using arrow notation (single arrow on one pair, double arrows on the other pair). Opposite sides also marked equal with tick marks. Label base and height with dashed line.. Style: flat vector illustration on white background, clear labels, educational diagram, no speech bubbles, no cartoon characters, suitable for a school assessment worksheet.",
Math G6: Distinguishing formulas for the perimeter and - Set 1,Math,6,"6-4-3-3-2 Distinguishing formulas for the perimeter and area of two-dimensional shapes, using them to find perimeter and area, and solving mathematical problems including real-life applications.",A triangle has a base of 8 cm and a height of 6 cm. What is its area?,20 cm^2,24 cm^2,30 cm^2,40 cm^2,20 cm^2,A triangle with vertices labeled...,"A triangle with vertices labeled A, B, C. Mark the three interior angles with arc symbols. Label sides a (opposite A), b (opposite B), c (opposite C). Show the three sides and three angles clearly.","Create an educational diagram for Math Grade 6 based on the question: ""A triangle has a base of 8 cm and a height of 6 cm. What is its area?"". The diagram must show: A triangle with vertices labeled A, B, C. Mark the three interior angles with arc symbols. Label sides a (opposite A), b (opposite B), c (opposite C). Show the three sides and three angles clearly.. Style: flat vector illustration on white background, clear labels, educational diagram, no speech bubbles, no cartoon characters, suitable for a school assessment worksheet.",
Math G6: Distinguishing formulas for the perimeter and - Set 1,Math,6,"6-4-3-3-2 Distinguishing formulas for the perimeter and area of two-dimensional shapes, using them to find perimeter and area, and solving mathematical problems including real-life applications.","A composite shape is made up of a rectangle and a triangle. The rectangle has a length of 8 cm and a width of 5 cm, and the triangle has a base of 8 cm and a height of 6 cm. What is the total area of the composite shape?",60 cm^2,80 cm^2,100 cm^2,120 cm^2,100 cm^2,A right triangle with the...,"A right triangle with the right angle marked by a small square. Label the hypotenuse (longest side, opposite the right angle), the opposite side (across from angle θ), and the adjacent side (next to angle θ). Mark angle θ at one vertex with a curved arc.","Create an educational diagram for Math Grade 6 based on the question: ""A composite shape is made up of a rectangle and a triangle. The rectangle has a length of 8 cm and a width of 5 cm, and the triangle has a base of 8 cm and a height of 6 cm. What is the total area of the composite shape?"". The diagram must show: A right triangle with the right angle marked by a small square. Label the hypotenuse (longest side, opposite the right angle), the opposite side (across from angle θ), and the adjacent side (next to angle θ). Mark angle θ at one vertex with a curved arc.. Style: flat vector illustration on white background, clear labels, educational diagram, no speech bubbles, no cartoon characters, suitable for a school assessment worksheet.",
Math G6: Understanding volume and surface area and - Set 1,Math,6,"6-4-3-3-3 Understanding volume and surface area and their units, distinguishing the formulas for a right rectangular prism, and applying them to find volume and solving mathematical problems including real-life applications.","A rectangular prism has a length of 5 cm, a width of 3 cm, and a height of 2 cm. What is its volume in cubic centimeters?",The volume is 10 cubic centimeters.,The volume is 15 cubic centimeters.,The volume is 20 cubic centimeters.,The volume is 25 cubic centimeters.,The volume is 20 cubic centimeters.,A 3D isometric rectangular prism...,"A 3D isometric rectangular prism (cuboid) with length (l), width (w), and height (h) labeled on three visible edges. Show hidden edges with dashed lines. Display formulas for volume and surface area.","Create an educational diagram for Math Grade 6 based on the question: ""A rectangular prism has a length of 5 cm, a width of 3 cm, and a height of 2 cm. What is its volume in cubic centimeters?"". The diagram must show: A 3D isometric rectangular prism (cuboid) with length (l), width (w), and height (h) labeled on three visible edges. Show hidden edges with dashed lines. Display formulas for volume and surface area.. Style: flat vector illustration on white background, clear labels, educational diagram, no speech bubbles, no cartoon characters, suitable for a school assessment worksheet.",
Math G6: Understanding volume and surface area and - Set 1,Math,6,"6-4-3-3-3 Understanding volume and surface area and their units, distinguishing the formulas for a right rectangular prism, and applying them to find volume and solving mathematical problems including real-life applications.",A cube has a side length of 4 cm. What is its volume in cubic centimeters?,The volume is 12 cubic centimeters.,The volume is 16 cubic centimeters.,The volume is 20 cubic centimeters.,The volume is 24 cubic centimeters.,The volume is 16 cubic centimeters.,A 3D isometric drawing of...,"A 3D isometric drawing of a cube with side length ""s"" labeled on one visible edge. Use dashed lines for hidden (back) edges. Display formulas: ""Volume = s³"" and ""Surface Area = 6s²"".","Create an educational diagram for Math Grade 6 based on the question: ""A cube has a side length of 4 cm. What is its volume in cubic centimeters?"". The diagram must show: A 3D isometric drawing of a cube with side length ""s"" labeled on one visible edge. Use dashed lines for hidden (back) edges. Display formulas: ""Volume = s³"" and ""Surface Area = 6s²"".. Style: flat vector illustration on white background, clear labels, educational diagram, no speech bubbles, no cartoon characters, suitable for a school assessment worksheet.",
Math G6: Understanding volume and surface area and - Set 1,Math,6,"6-4-3-3-3 Understanding volume and surface area and their units, distinguishing the formulas for a right rectangular prism, and applying them to find volume and solving mathematical problems including real-life applications.","A rectangular prism has a length of 6 cm, a width of 4 cm, and a height of 3 cm. What is its volume in cubic centimeters?",The volume is 48 cubic centimeters.,The volume is 54 cubic centimeters.,The volume is 60 cubic centimeters.,The volume is 72 cubic centimeters.,The volume is 48 cubic centimeters.,A 3D isometric rectangular prism...,"A 3D isometric rectangular prism (cuboid) with length (l), width (w), and height (h) labeled on three visible edges. Show hidden edges with dashed lines. Display formulas for volume and surface area.","Create an educational diagram for Math Grade 6 based on the question: ""A rectangular prism has a length of 6 cm, a width of 4 cm, and a height of 3 cm. What is its volume in cubic centimeters?"". The diagram must show: A 3D isometric rectangular prism (cuboid) with length (l), width (w), and height (h) labeled on three visible edges. Show hidden edges with dashed lines. Display formulas for volume and surface area.. Style: flat vector illustration on white background, clear labels, educational diagram, no speech bubbles, no cartoon characters, suitable for a school assessment worksheet.",
Math G6: Understanding volume and surface area and - Set 1,Math,6,"6-4-3-3-3 Understanding volume and surface area and their units, distinguishing the formulas for a right rectangular prism, and applying them to find volume and solving mathematical problems including real-life applications.",A cube has a side length of 3 cm. What is its volume in cubic centimeters?,The volume is 9 cubic centimeters.,The volume is 12 cubic centimeters.,The volume is 15 cubic centimeters.,The volume is 18 cubic centimeters.,The volume is 9 cubic centimeters.,A 3D isometric drawing of...,"A 3D isometric drawing of a cube with side length ""s"" labeled on one visible edge. Use dashed lines for hidden (back) edges. Display formulas: ""Volume = s³"" and ""Surface Area = 6s²"".","Create an educational diagram for Math Grade 6 based on the question: ""A cube has a side length of 3 cm. What is its volume in cubic centimeters?"". The diagram must show: A 3D isometric drawing of a cube with side length ""s"" labeled on one visible edge. Use dashed lines for hidden (back) edges. Display formulas: ""Volume = s³"" and ""Surface Area = 6s²"".. Style: flat vector illustration on white background, clear labels, educational diagram, no speech bubbles, no cartoon characters, suitable for a school assessment worksheet.",
Math G6: Understanding volume and surface area and - Set 1,Math,6,"6-4-3-3-3 Understanding volume and surface area and their units, distinguishing the formulas for a right rectangular prism, and applying them to find volume and solving mathematical problems including real-life applications.","A rectangular prism has a length of 8 cm, a width of 2 cm, and a height of 5 cm. What is its volume in cubic centimeters?",The volume is 40 cubic centimeters.,The volume is 60 cubic centimeters.,The volume is 80 cubic centimeters.,The volume is 100 cubic centimeters.,The volume is 80 cubic centimeters.,A 3D isometric rectangular prism...,"A 3D isometric rectangular prism (cuboid) with length (l), width (w), and height (h) labeled on three visible edges. Show hidden edges with dashed lines. Display formulas for volume and surface area.","Create an educational diagram for Math Grade 6 based on the question: ""A rectangular prism has a length of 8 cm, a width of 2 cm, and a height of 5 cm. What is its volume in cubic centimeters?"". The diagram must show: A 3D isometric rectangular prism (cuboid) with length (l), width (w), and height (h) labeled on three visible edges. Show hidden edges with dashed lines. Display formulas for volume and surface area.. Style: flat vector illustration on white background, clear labels, educational diagram, no speech bubbles, no cartoon characters, suitable for a school assessment worksheet.",
Math G6: Understanding volume and surface area and - Set 1,Math,6,"6-4-3-3-3 Understanding volume and surface area and their units, distinguishing the formulas for a right rectangular prism, and applying them to find volume and solving mathematical problems including real-life applications.",A cube has a side length of 5 cm. What is its volume in cubic centimeters?,The volume is 50 cubic centimeters.,The volume is 75 cubic centimeters.,The volume is 100 cubic centimeters.,The volume is 125 cubic centimeters.,The volume is 100 cubic centimeters.,A 3D isometric drawing of...,"A 3D isometric drawing of a cube with side length ""s"" labeled on one visible edge. Use dashed lines for hidden (back) edges. Display formulas: ""Volume = s³"" and ""Surface Area = 6s²"".","Create an educational diagram for Math Grade 6 based on the question: ""A cube has a side length of 5 cm. What is its volume in cubic centimeters?"". The diagram must show: A 3D isometric drawing of a cube with side length ""s"" labeled on one visible edge. Use dashed lines for hidden (back) edges. Display formulas: ""Volume = s³"" and ""Surface Area = 6s²"".. Style: flat vector illustration on white background, clear labels, educational diagram, no speech bubbles, no cartoon characters, suitable for a school assessment worksheet.",
Math G6: Understanding volume and surface area and - Set 1,Math,6,"6-4-3-3-3 Understanding volume and surface area and their units, distinguishing the formulas for a right rectangular prism, and applying them to find volume and solving mathematical problems including real-life applications.","A rectangular prism has a length of 4 cm, a width of 6 cm, and a height of 2 cm. What is its volume in cubic centimeters?",The volume is 16 cubic centimeters.,The volume is 24 cubic centimeters.,The volume is 32 cubic centimeters.,The volume is 48 cubic centimeters.,The volume is 48 cubic centimeters.,A 3D isometric rectangular prism...,"A 3D isometric rectangular prism (cuboid) with length (l), width (w), and height (h) labeled on three visible edges. Show hidden edges with dashed lines. Display formulas for volume and surface area.","Create an educational diagram for Math Grade 6 based on the question: ""A rectangular prism has a length of 4 cm, a width of 6 cm, and a height of 2 cm. What is its volume in cubic centimeters?"". The diagram must show: A 3D isometric rectangular prism (cuboid) with length (l), width (w), and height (h) labeled on three visible edges. Show hidden edges with dashed lines. Display formulas for volume and surface area.. Style: flat vector illustration on white background, clear labels, educational diagram, no speech bubbles, no cartoon characters, suitable for a school assessment worksheet.",
Math G6: Understanding volume and surface area and - Set 1,Math,6,"6-4-3-3-3 Understanding volume and surface area and their units, distinguishing the formulas for a right rectangular prism, and applying them to find volume and solving mathematical problems including real-life applications.",A cube has a side length of 2 cm. What is its volume in cubic centimeters?,The volume is 4 cubic centimeters.,The volume is 6 cubic centimeters.,The volume is 8 cubic centimeters.,The volume is 10 cubic centimeters.,The volume is 8 cubic centimeters.,A 3D isometric drawing of...,"A 3D isometric drawing of a cube with side length ""s"" labeled on one visible edge. Use dashed lines for hidden (back) edges. Display formulas: ""Volume = s³"" and ""Surface Area = 6s²"".","Create an educational diagram for Math Grade 6 based on the question: ""A cube has a side length of 2 cm. What is its volume in cubic centimeters?"". The diagram must show: A 3D isometric drawing of a cube with side length ""s"" labeled on one visible edge. Use dashed lines for hidden (back) edges. Display formulas: ""Volume = s³"" and ""Surface Area = 6s²"".. Style: flat vector illustration on white background, clear labels, educational diagram, no speech bubbles, no cartoon characters, suitable for a school assessment worksheet.",
Math G6: Understanding volume and surface area and - Set 1,Math,6,"6-4-3-3-3 Understanding volume and surface area and their units, distinguishing the formulas for a right rectangular prism, and applying them to find volume and solving mathematical problems including real-life applications.","A rectangular prism has a length of 9 cm, a width of 3 cm, and a height of 4 cm. What is its volume in cubic centimeters?",The volume is 72 cubic centimeters.,The volume is 90 cubic centimeters.,The volume is 108 cubic centimeters.,The volume is 120 cubic centimeters.,The volume is 90 cubic centimeters.,A 3D isometric rectangular prism...,"A 3D isometric rectangular prism (cuboid) with length (l), width (w), and height (h) labeled on three visible edges. Show hidden edges with dashed lines. Display formulas for volume and surface area.","Create an educational diagram for Math Grade 6 based on the question: ""A rectangular prism has a length of 9 cm, a width of 3 cm, and a height of 4 cm. What is its volume in cubic centimeters?"". The diagram must show: A 3D isometric rectangular prism (cuboid) with length (l), width (w), and height (h) labeled on three visible edges. Show hidden edges with dashed lines. Display formulas for volume and surface area.. Style: flat vector illustration on white background, clear labels, educational diagram, no speech bubbles, no cartoon characters, suitable for a school assessment worksheet.",
Math G6: Understanding volume and surface area and - Set 1,Math,6,"6-4-3-3-3 Understanding volume and surface area and their units, distinguishing the formulas for a right rectangular prism, and applying them to find volume and solving mathematical problems including real-life applications.",A cube has a side length of 6 cm. What is its volume in cubic centimeters?,The volume is 36 cubic centimeters.,The volume is 54 cubic centimeters.,The volume is 72 cubic centimeters.,The volume is 108 cubic centimeters.,The volume is 36 cubic centimeters.,A 3D isometric drawing of...,"A 3D isometric drawing of a cube with side length ""s"" labeled on one visible edge. Use dashed lines for hidden (back) edges. Display formulas: ""Volume = s³"" and ""Surface Area = 6s²"".","Create an educational diagram for Math Grade 6 based on the question: ""A cube has a side length of 6 cm. What is its volume in cubic centimeters?"". The diagram must show: A 3D isometric drawing of a cube with side length ""s"" labeled on one visible edge. Use dashed lines for hidden (back) edges. Display formulas: ""Volume = s³"" and ""Surface Area = 6s²"".. Style: flat vector illustration on white background, clear labels, educational diagram, no speech bubbles, no cartoon characters, suitable for a school assessment worksheet.",
