Grade,Subject,Sub-Domain,Learning Outcome,Indicator
Grade 3,Math,Algebra and analysis,"3-4-2-2-2 Distinguishing the relations between the four operations, and using them to find the results and verify their correctness.","1. Describing and classifying two-dimensional geometric shapes (triangle, square, rectangle, circle, parallelogram, trapezoid, pentagon, hexagon), and comparing them based on the number of sides, the number of vertices, and the congruence of sides."
Grade 3,Math,Algebra and analysis,"3-4-2-2-2 Distinguishing the relations between the four operations, and using them to find the results and verify their correctness.","3. Distinguishing the relationship between division and subtraction, and using it to find the quotient and verify its correctness."
Grade 3,Math,Algebra and analysis,"3-4-2-2-2 Distinguishing the relations between the four operations, and using them to find the results and verify their correctness.","4. Distinguishing the relationship between multiplication and division, and using it to find results and verify their correctness."
Grade 3,Math,Geometry and measurement,"3-4-3-1-1 Understanding the properties of two-dimensional and three-dimensional geometric shapes, and using them to classify and compare them.","2. Distinguishing shapes with symmetry, identifying axes of symmetry in shapes, drawings, and pictures, and drawing or completing shapes that are symmetric about a given axis."
Grade 3,Math,Geometry and measurement,"3-4-3-1-1 Understanding the properties of two-dimensional and three-dimensional geometric shapes, and using them to classify and compare them.","3. Describing and classifying three-dimensional geometric shapes (cube, sphere, cone, cylinder, pyramid, and rectangular prism), and comparing them based on the number of faces and shapes, the number of vertices, and the number of edges."
Grade 3,Math,Geometry and measurement,"3-4-3-2-1 Understanding the perimeter and area of a shape, estimating, and finding them.","2. Distinguishing the area of a polygon, estimating and finding it by using models and a grid of squares."
Grade 3,Math,Geometry and measurement,"3-4-3-2-1 Understanding the perimeter and area of a shape, estimating, and finding them.",3. Finding the area of a square and a rectangle by using a grid of squares.
Grade 3,Math,Geometry and measurement,"3-4-3-2-3 Distinguishing currency denominations, using them for counting, representing amounts, and comparing them, and solving mathematical problems including financial applications.",1. Distinguishing the types of coins and banknotes and using them to count amounts up to 9999 riyals.
Grade 3,Math,Geometry and measurement,"3-4-3-2-3 Distinguishing currency denominations, using them for counting, representing amounts, and comparing them, and solving mathematical problems including financial applications.","2. Representing amounts up to 9999 riyals by using money categories in a variety of ways, and comparing them."
Grade 3,Math,Geometry and measurement,"3-4-3-2-4 Estimating and measuring time using appropriate units of time, reading and writing time, and solving mathematical problems including time applications.",1. Collecting data from the environment and organizing it into multiple categories by using frequency tables.
Grade 3,Math,Geometry and measurement,"3-4-3-2-4 Estimating and measuring time using appropriate units of time, reading and writing time, and solving mathematical problems including time applications.","1. Selecting the suitable units of time (seconds, minutes, hours) to estimate the duration of an event."
Grade 3,Math,Numbers and operations,"3-4-1-1-1 Understanding the place value of numbers up to four digits and using it to represent numbers, read, write, compare, order, and round them.","1. Identifying the place value of a digit in whole number up to four digits, representing numbers using models, diagrams, number line, and rounding them to the nearest ten, hundred, or thousand."
Grade 3,Math,Numbers and operations,"3-4-1-1-1 Understanding the place value of numbers up to four digits and using it to represent numbers, read, write, compare, order, and round them.","2. Reading and writing numbers up to four digits in standard, verbal, and expanded forms."
Grade 3,Math,Numbers and operations,"3-4-1-1-1 Understanding the place value of numbers up to four digits and using it to represent numbers, read, write, compare, order, and round them.","3. Counting numbers in ascending, descending, and jumping of (two, five, ten, hundred, and thousands), and determining even and odd numbers."
Grade 3,Math,Numbers and operations,"3-4-1-1-1 Understanding the place value of numbers up to four digits and using it to represent numbers, read, write, compare, order, and round them.","4. Comparing numbers up to four digits using symbols (>, <, =) and ordering them in ascending and descending order."
Grade 3,Math,Numbers and operations,"3-4-1-1-2 Understanding fractions, representing, reading, writing, comparing, and ordering them.","1. Distinguishing fractions (with numerators or denominators not exceeding 12) as parts of a whole or as parts of a set, and represent them using models and diagrams."
Grade 3,Math,Numbers and operations,"3-4-1-1-2 Understanding fractions, representing, reading, writing, comparing, and ordering them.",2. Reading and writing fractions (with numerators or denominators not exceeding 12).
Grade 3,Math,Numbers and operations,"3-4-1-1-2 Understanding fractions, representing, reading, writing, comparing, and ordering them.","3. Comparing fractions (with numerators or denominators not exceeding 12) using models, graphs, number, and symbols (>, <, =) and ordering them in ascending and descending order."
Grade 3,Math,Numbers and operations,"3-4-1-1-2 Understanding fractions, representing, reading, writing, comparing, and ordering them.",4. Distinguishing and finding equivalent fractions for a given fraction (with numerators or denominators not exceeding 12).
Grade 3,Math,Numbers and operations,"3-4-1-2-1 Finding and estimating the results of addition and subtraction of whole numbers up to three digits, and solving mathematical problems including real-life applications.",1. Adding and Subtracting whole numbers up to three digits (with and without regrouping) by using place value strategies.
Grade 3,Math,Numbers and operations,"3-4-1-2-1 Finding and estimating the results of addition and subtraction of whole numbers up to three digits, and solving mathematical problems including real-life applications.","2. Estimating the results of addition and subtraction of whole numbers up to three digits by rounding to an appropriate place value or using compatible numbers, and using estimation to check the reasonableness of the result."
Grade 3,Math,Numbers and operations,"3-4-1-2-1 Finding and estimating the results of addition and subtraction of whole numbers up to three digits, and solving mathematical problems including real-life applications.","3. solving mathematical problems including real- life applications with one or two steps using addition and subtraction of whole numbers up to three digits, and explaining their solution."
Grade 3,Math,Numbers and operations,"3-4-1-2-2 Understanding the operations of multiplication and division, representing them using models, forming fact family, finding their results, and solving mathematical problems including real-life applications.",1. Distinguishing multiplication as repeated addition and constructing multiplication facts up to (10x10) by using models and drawings.
Grade 3,Math,Numbers and operations,"3-4-1-2-2 Understanding the operations of multiplication and division, representing them using models, forming fact family, finding their results, and solving mathematical problems including real-life applications.",2. Distinguishing division as equal sharing and constructing division facts related to multiplication facts up to (10 أ— 10) by using models and drawings.
Grade 3,Math,Numbers and operations,"3-4-1-2-2 Understanding the operations of multiplication and division, representing them using models, forming fact family, finding their results, and solving mathematical problems including real-life applications.",3. Finding multiplication facts up to (10 أ— 10) and the corresponding division facts.
Grade 3,Math,Numbers and operations,"3-4-1-2-2 Understanding the operations of multiplication and division, representing them using models, forming fact family, finding their results, and solving mathematical problems including real-life applications.",4. solving mathematical problems including real- life applications with one or two steps using the four operations and explaining their solution.
Grade 3,Math,Statistics and probabilities,"3-4-4-1-1 Collecting and organizing data from the environment, representing and reading them using bar graphs and symbols, and interpreting them.","2. Representing data with vertical and horizontal bar graphs, symbols."
Grade 6,English,Reading Comprehension,"6.2.1.1.2 Distinguishing the main and sub-ideas of the read text, inferring its facts, interpreting, and analyzing it, and determining its type, purpose, and function.","1. Answering questions about direct information and facts within a text and Distinguishes the text type (poetry/prose- nonfiction/fiction), its purpose, topic, and function."
Grade 6,English,Reading Comprehension,"6.2.1.1.2 Distinguishing the main and sub-ideas of the read text, inferring its facts, interpreting, and analyzing it, and determining its type, purpose, and function.","2. Extracting direct information and facts mentioned in the text, distinguishes the type of text (poetry/prose - realistic/fictional/ (story - biography - dialogue - news advertisement - commercial advertisement - report - press release - literary topic - scientific topic - descriptive topic), and determining its purpose (guidance - infor-mational - advertising - descriptive - scientific - persuasive) and its subject."
Grade 6,English,Reading Comprehension,"6.2.1.1.2 Distinguishing the main and sub-ideas of the read text, inferring its facts, interpreting, and analyzing it, and determining its type, purpose, and function.","3. Comparing two or more concepts in the read text, and inferring the similarities and differences between them."
Grade 6,English,Reading Comprehension,"6.2.1.1.2 Distinguishing the main and sub-ideas of the read text, inferring its facts, interpreting, and analyzing it, and determining its type, purpose, and function.","4. Describing characters and events in the text, distinguishing relationships be-tween characters, and arranging and rearranging events."
Grade 6,English,Reading Comprehension,"6.2.1.1.2 Distinguishing the main and sub-ideas of the read text, inferring its facts, interpreting, and analyzing it, and determining its type, purpose, and function.","5. Explaining the relationship (explanatory - causal - result...) between the para-graphs, sentences and phrases of the read text, and inferring from the text the Interpretation of phenomena and events and linking them to reality."
Grade 6,English,Reading Comprehension,"6.2.1.1.3 Expressing an opinion about the au-thor's point of view, values and attitudes, pro-posing alternatives and solutions, and using means of persuasion and reasoning.","1. Identifying phrases and aesthetic expressions of the read text, expressing opinion about them, and describing the writer's emotion."
Grade 6,English,Reading Comprehension,"6.2.1.1.3 Expressing an opinion about the au-thor's point of view, values and attitudes, pro-posing alternatives and solutions, and using means of persuasion and reasoning.",2. Expressing opinion on the completeness or clarity of the information mentioned in the text.
Grade 6,English,Reading Comprehension,"6.2.1.1.3 Expressing an opinion about the au-thor's point of view, values and attitudes, pro-posing alternatives and solutions, and using means of persuasion and reasoning.","3. Inferring the values and attitudes mentioned in the read text, evaluating them, expressing opinion about them with justification, and identifying the writerâ€™s point of view."
Grade 6,English,Reading Comprehension,"6.2.1.1.3 Expressing an opinion about the au-thor's point of view, values and attitudes, pro-posing alternatives and solutions, and using means of persuasion and reasoning.","4. Suggesting a title, beginning, or conclusion that differs from the text, rephrasing the text or a paragraph of it in his own language and style, and organizing the text's information into graphic organizers."
Grade 6,English,Reading Comprehension,"6.2.1.1.3 Expressing an opinion about the au-thor's point of view, values and attitudes, pro-posing alternatives and solutions, and using means of persuasion and reasoning.","5. Using methods of persuasion and reasoning to support another idea or opinion, and employing the meaning and ideas of the text in proposing solutions to school, life, or community problems."
Grade 6,English,Vocabulary Acquisition and Use of Verbal Semantics,"6.2.1.1.1 Inferring synonyms and meanings of vocabulary mentioned in the read text, distinguishing vocabulary that is similar in meaning, giving examples, and using vocabulary, synonyms and antonyms in meaningful sentences.",1. Inferring synonyms of vocabulary mentioned in the text and explaining the meanings of vocabulary which connotations have changed with context.
Grade 6,English,Vocabulary Acquisition and Use of Verbal Semantics,"6.2.1.1.1 Inferring synonyms and meanings of vocabulary mentioned in the read text, distinguishing vocabulary that is similar in meaning, giving examples, and using vocabulary, synonyms and antonyms in meaningful sentences.",2. Distinguishing vocabulary similar in meaning and giving examples in meaningful sentences and different reading contexts.
Grade 6,English,Vocabulary Acquisition and Use of Verbal Semantics,"6.2.1.1.1 Inferring synonyms and meanings of vocabulary mentioned in the read text, distinguishing vocabulary that is similar in meaning, giving examples, and using vocabulary, synonyms and antonyms in meaningful sentences.",3. Classifying synonyms and antonyms that are similar in meaning according to their purpose in the text.
Grade 6,English,Vocabulary Acquisition and Use of Verbal Semantics,"6.2.1.1.1 Inferring synonyms and meanings of vocabulary mentioned in the read text, distinguishing vocabulary that is similar in meaning, giving examples, and using vocabulary, synonyms and antonyms in meaningful sentences.","4. Using vocabulary, their synonyms and antonyms in meaningful sentences and different reading contexts."
Grade 6,Math,Algebra and analysis,"6-4-2-1-1 Distinguishing growing numerical and geometric patterns, generating and generalizing them, exploring relationships from data tables, and solving mathematical problems including real-life applications.","1. Distinguishing growing numerical patterns (whose rules involve no more than two arithmetic operations), representing, expanding, completing missing elements, generating, and generalizing them."
Grade 6,Math,Algebra and analysis,"6-4-2-1-1 Distinguishing growing numerical and geometric patterns, generating and generalizing them, exploring relationships from data tables, and solving mathematical problems including real-life applications.","2. Distinguishing growing geometric patterns (increasing or decreasing by a non-constant amount), extending them, completing missing elements, generating them, and generalizing them."
Grade 6,Math,Algebra and analysis,"6-4-2-1-1 Distinguishing growing numerical and geometric patterns, generating and generalizing them, exploring relationships from data tables, and solving mathematical problems including real-life applications.","3. Expressing the relationship between two sets of data in inputâ€“output tables using words, symbols, and ordered pairs, and representing them on the coordinate plane."
Grade 6,Math,Algebra and analysis,"6-4-2-1-1 Distinguishing growing numerical and geometric patterns, generating and generalizing them, exploring relationships from data tables, and solving mathematical problems including real-life applications.","4. Completing data in inputâ€“output tables, expanding them, and constructing tables according to a given rule (involving no more than two arithmetic operations)."
Grade 6,Math,Algebra and analysis,"6-4-2-1-1 Distinguishing growing numerical and geometric patterns, generating and generalizing them, exploring relationships from data tables, and solving mathematical problems including real-life applications.","5. Solving mathematical problems including real-life applications of patterns and inputâ€“output tables, and explaining their solutions."
Grade 6,Math,Algebra and analysis,"6-4-2-2-1 Distinguishing and writing algebraic expressions, finding their values, solving simple linear equations, and solving mathematical problems including real-life applications.","1. Distinguishing algebraic expressions, writing them by using parentheses, and finding their values by applying the order of operations."
Grade 6,Math,Algebra and analysis,"6-4-2-2-1 Distinguishing and writing algebraic expressions, finding their values, solving simple linear equations, and solving mathematical problems including real-life applications.","2. Distinguishing and writing simple one-step linear equations,  and solving them mentally and by using models."
Grade 6,Math,Algebra and analysis,"6-4-2-2-1 Distinguishing and writing algebraic expressions, finding their values, solving simple linear equations, and solving mathematical problems including real-life applications.","3.Solving mathematical problems including real-life applications of algebraic expressions and simple linear equations, and explaining their solutions."
Grade 6,Math,Geometry and measurement,"6-4-3-1-1 Distinguishing basic geometric concepts, identifying types of angles, relationships between lines, and relationships between angles.","1. Distinguishing points, lines, rays, and line segments, and identifying them on geometric figures."
Grade 6,Math,Geometry and measurement,"6-4-3-1-1 Distinguishing basic geometric concepts, identifying types of angles, relationships between lines, and relationships between angles.","2. Distinguishing angles (right, acute, obtuse, and straight), and estimating and finding their measures."
Grade 6,Math,Geometry and measurement,"6-4-3-1-1 Distinguishing basic geometric concepts, identifying types of angles, relationships between lines, and relationships between angles.","3. Distinguishing intersecting, parallel, and perpendicular lines, and identifying them on geometric figures."
Grade 6,Math,Geometry and measurement,"6-4-3-1-1 Distinguishing basic geometric concepts, identifying types of angles, relationships between lines, and relationships between angles.","4. Distinguishing vertically opposite, adjacent, complementary, and supplementary angles, identifying them on geometric figures, and using them to find the measures of unknown angles."
Grade 6,Math,Geometry and measurement,6-4-3-1-2 Understanding the properties of two-dimensional and three-dimensional geometric shapes and using them to identify and classify the shapes.,"1. Distinguishing polygons, classifying them into regular and irregular polygons, and naming them."
Grade 6,Math,Geometry and measurement,6-4-3-1-2 Understanding the properties of two-dimensional and three-dimensional geometric shapes and using them to identify and classify the shapes.,"2. Distinguishing triangles and circles, identifying and naming their elements, and classifying triangles according to the lengths of their sides and the measures of their angles."
Grade 6,Math,Geometry and measurement,6-4-3-1-2 Understanding the properties of two-dimensional and three-dimensional geometric shapes and using them to identify and classify the shapes.,"3. Distinguishing quadrilaterals (parallelogram, rectangle, rhombus, square, and trapezoid), identifying and naming their elements, and classifying them according to the properties of their sides and angles."
Grade 6,Math,Geometry and measurement,6-4-3-1-2 Understanding the properties of two-dimensional and three-dimensional geometric shapes and using them to identify and classify the shapes.,"4. Distinguishing prisms (triangular, quadrilateral) and cubes, identifying their vertices, edges, faces, and bases, and drawing their nets."
Grade 6,Math,Geometry and measurement,6-4-3-1-2 Understanding the properties of two-dimensional and three-dimensional geometric shapes and using them to identify and classify the shapes.,"5. Identifying the sum of the interior angles of a triangle and a quadrilateral, and using them to find the measures of unknown angles."
Grade 6,Math,Geometry and measurement,"6-4-3-2-1 Using the coordinate plane to name and locate points, and identifying and performing geometric transformations.","1. Distinguishing the elements of the coordinate plane (first quadrant), naming and locating points using ordered pairs, and drawing polygons given the coordinates of their vertices."
Grade 6,Math,Geometry and measurement,"6-4-3-2-1 Using the coordinate plane to name and locate points, and identifying and performing geometric transformations.",2. Distinguishing translations on the coordinate plane (first quadrant) and drawing the image of a figure under a given translation.
Grade 6,Math,Geometry and measurement,"6-4-3-2-1 Using the coordinate plane to name and locate points, and identifying and performing geometric transformations.",3. Distinguishing reflections across an axis on the coordinate plane (first quadrant) and drawing the image of a figure under a given reflection.
Grade 6,Math,Geometry and measurement,"6-4-3-2-1 Using the coordinate plane to name and locate points, and identifying and performing geometric transformations.",4. Distinguishing rotations about a point on the coordinate plane (first quadrant) and drawing the image of a figure under a given rotation.
Grade 6,Math,Geometry and measurement,"6-4-3-3-1 Distinguishing relationships between units of length, mass, capacity, and time, and using them to convert between units.","1. Identifying the appropriate unit of length, distinguishing relationships between metric units of length (cm, mm), (m, cm), (km, m), and using them to convert between units."
Grade 6,Math,Geometry and measurement,"6-4-3-3-1 Distinguishing relationships between units of length, mass, capacity, and time, and using them to convert between units.","2. Identifying the appropriate unit of mass, distinguishing relationships between metric units of mass (g, mg), (kg, g), (ton, kg), and using them to convert between units."
Grade 6,Math,Geometry and measurement,"6-4-3-3-1 Distinguishing relationships between units of length, mass, capacity, and time, and using them to convert between units.","3. Identifying the appropriate unit of capacity, distinguishing relationships between metric units of capacity (l, ml), and using them to convert between units."
Grade 6,Math,Geometry and measurement,"6-4-3-3-1 Distinguishing relationships between units of length, mass, capacity, and time, and using them to convert between units.","4. Distinguishing relationships between units of time (second, minute), (minute, hour), (hour, day), (day, week), (month, year), and using them to convert between units."
Grade 6,Math,Geometry and measurement,"6-4-3-3-2 Distinguishing formulas for the perimeter and area of two-dimensional shapes, using them to find perimeter and area, and solving mathematical problems including real-life applications.","1. Distinguishing formulas for the perimeters of the rectangle, square, and circle, and using them to find the perimeter."
Grade 6,Math,Geometry and measurement,"6-4-3-3-2 Distinguishing formulas for the perimeter and area of two-dimensional shapes, using them to find perimeter and area, and solving mathematical problems including real-life applications.","2. Distinguishing formulas for the areas of the rectangle, square, parallelogram, and triangle, and using them to calculate their areas and the areas of composite shapes formed from them."
Grade 6,Math,Geometry and measurement,"6-4-3-3-2 Distinguishing formulas for the perimeter and area of two-dimensional shapes, using them to find perimeter and area, and solving mathematical problems including real-life applications.","3. Solving mathematical problems including real-life applications of the perimeters and areas of geometric shapes, and explaining their solutions."
Grade 6,Math,Geometry and measurement,"6-4-3-3-3 Understanding volume and surface area and their units, distinguishing the formulas for a right rectangular prism, and applying them to find volume and solving mathematical problems including real-life applications.","1. Estimating volume and measuring it by using the appropriate metric unit (ml3, cm3, and m3)."
Grade 6,Math,Geometry and measurement,"6-4-3-3-3 Understanding volume and surface area and their units, distinguishing the formulas for a right rectangular prism, and applying them to find volume and solving mathematical problems including real-life applications.",2. Distinguishing the formula for the volume of a right rectangular prism and using it to calculate its volume.
Grade 6,Math,Geometry and measurement,"6-4-3-3-3 Understanding volume and surface area and their units, distinguishing the formulas for a right rectangular prism, and applying them to find volume and solving mathematical problems including real-life applications.",3. Distinguishing the formula for the surface area of a right rectangular prism and using it to estimate and calculate the surface area.
Grade 6,Math,Geometry and measurement,"6-4-3-3-3 Understanding volume and surface area and their units, distinguishing the formulas for a right rectangular prism, and applying them to find volume and solving mathematical problems including real-life applications.","4. Solving mathematical problems including real-life applications of the volume and surface area of a right rectangular prism, and explaining their solutions."
Grade 6,Math,Numbers and operations,"6-4-1-1-1 Understanding and representing the place value of numbers up to 12 digits, reading, writing, comparing, Ordering, rounding them.","1. Identifying place value of numbers up to 12-digit numbers, representing through a number line, and rounding to specified places."
Grade 6,Math,Numbers and operations,"6-4-1-1-1 Understanding and representing the place value of numbers up to 12 digits, reading, writing, comparing, Ordering, rounding them.","2. Reading and writing numbers up to 12 digits in standard, verbal, and analytical forms."
Grade 6,Math,Numbers and operations,"6-4-1-1-1 Understanding and representing the place value of numbers up to 12 digits, reading, writing, comparing, Ordering, rounding them.","3. Comparing and Ordering numbers up to 12 digits by using symbols (>, <, =) in ascending and descending order."
Grade 6,Math,Numbers and operations,"6-4-1-1-2 Distinguishing Proper fractions, mixed numbers, and improper fractions, representing, reading, writing, comparing, ordering, and rounding them.","1. Distinguishing Proper fractions, representing them by using models, diagrams, and number lines, and reading and writing them."
Grade 6,Math,Numbers and operations,"6-4-1-1-2 Distinguishing Proper fractions, mixed numbers, and improper fractions, representing, reading, writing, comparing, ordering, and rounding them.","2. Finding equivalent fractions, converting them to their simplest form, and rounding them to the nearest whole, half, or one."
Grade 6,Math,Numbers and operations,"6-4-1-1-2 Distinguishing Proper fractions, mixed numbers, and improper fractions, representing, reading, writing, comparing, ordering, and rounding them.","3. Distinguishing mixed numbers, representing them by using models, diagrams, and number lines, and reading and writing them."
Grade 6,Math,Numbers and operations,"6-4-1-1-2 Distinguishing Proper fractions, mixed numbers, and improper fractions, representing, reading, writing, comparing, ordering, and rounding them.",4. Distinguishing an improper fraction and converting it to mixed numbers and vice versa.
Grade 6,Math,Numbers and operations,"6-4-1-1-2 Distinguishing Proper fractions, mixed numbers, and improper fractions, representing, reading, writing, comparing, ordering, and rounding them.",5. Comparing and ordering Proper fractions and mixed numbers in ascending and descending order.
Grade 6,Math,Numbers and operations,"6-4-1-1-3 Understanding and representing decimal fractions, recognizing the place value of a digit in it, reading, writing, comparing, ordering, and rounding them, and converting between decimal fractions, Proper fractions and mixed numbers.","1. Distinguishing decimal fractions, representing them by using models, diagrams, and number lines, identifying the place value of digits, and rounding them to the nearest whole number or to a given place value."
Grade 6,Math,Numbers and operations,"6-4-1-1-3 Understanding and representing decimal fractions, recognizing the place value of a digit in it, reading, writing, comparing, ordering, and rounding them, and converting between decimal fractions, Proper fractions and mixed numbers.","2. Reading decimal fractions and writing them in standard, verbal, and expanded forms."
Grade 6,Math,Numbers and operations,"6-4-1-1-3 Understanding and representing decimal fractions, recognizing the place value of a digit in it, reading, writing, comparing, ordering, and rounding them, and converting between decimal fractions, Proper fractions and mixed numbers.","3. Comparing decimal fractions, ordering them in ascending and descending order, and converting between decimal fractions, Proper fractions, and mixed numbers."
Grade 6,Math,Numbers and operations,"6-4-1-2-1 Adding and subtracting whole numbers up to seven digits, multiplying numbers up to three digits, dividing numbers of up to four digits by numbers of up to two digits, and solving mathematical problems including real-life applications.","1. Adding and subtracting numbers up to seven digits, with and without regrouping."
Grade 6,Math,Numbers and operations,"6-4-1-2-1 Adding and subtracting whole numbers up to seven digits, multiplying numbers up to three digits, dividing numbers of up to four digits by numbers of up to two digits, and solving mathematical problems including real-life applications.","2. Multiplying numbers up to three digits by numbers up to two digits, with and without regrouping, using place valueâ€“based strategies."
Grade 6,Math,Numbers and operations,"6-4-1-2-1 Adding and subtracting whole numbers up to seven digits, multiplying numbers up to three digits, dividing numbers of up to four digits by numbers of up to two digits, and solving mathematical problems including real-life applications.","3. Dividing numbers of up to four digits by numbers of up to two digits, with and without remainder, using place valueâ€“based strategies."
Grade 6,Math,Numbers and operations,"6-4-1-2-1 Adding and subtracting whole numbers up to seven digits, multiplying numbers up to three digits, dividing numbers of up to four digits by numbers of up to two digits, and solving mathematical problems including real-life applications.","4. Solving mathematical problems up to three steps, including real-life applications on all four operations, and explaining their solutions."
Grade 6,Math,Numbers and operations,"6-4-1-2-2 Distinguishing the factors and multiples of a number, representing and finding them, and solving mathematical problems including real-life applications.",1. Determining the factors of a number and representing them using models and diagrams.
Grade 6,Math,Numbers and operations,"6-4-1-2-2 Distinguishing the factors and multiples of a number, representing and finding them, and solving mathematical problems including real-life applications.",2. Determining the multiples of a number and representing them using models and diagrams.
Grade 6,Math,Numbers and operations,"6-4-1-2-2 Distinguishing the factors and multiples of a number, representing and finding them, and solving mathematical problems including real-life applications.","3. Distinguishing prime and non-prime numbers, and representing them using models and diagrams."
Grade 6,Math,Numbers and operations,"6-4-1-2-2 Distinguishing the factors and multiples of a number, representing and finding them, and solving mathematical problems including real-life applications.","4. Factoring a number into its prime factors, and using prime factorization to find the greatest common divisor and the least common multiple of two  numbers or more."
Grade 6,Math,Numbers and operations,"6-4-1-2-2 Distinguishing the factors and multiples of a number, representing and finding them, and solving mathematical problems including real-life applications.","5. Solving mathematical problems including real-life applications of the greatest common divisor and the least common multiple, and explaining their solutions."
Grade 6,Math,Numbers and operations,"6-4-1-2-3 Understanding powers of whole numbers, representing and finding them, finding values of numerical expressions included it, and solving mathematical problems including real-life applications.",1. Distinguishing a power of a whole number (with a whole-number exponent) as repeated multiplication and finding its value.
Grade 6,Math,Numbers and operations,"6-4-1-2-3 Understanding powers of whole numbers, representing and finding them, finding values of numerical expressions included it, and solving mathematical problems including real-life applications.","2. Distinguishing and writing numerical expressions, and finding their values including powers and parentheses using the order of operations."
